ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
17:02:55 23/10/2025,7.9,62.0,24.90,"Bình thường","An toàn"
17:02:57 23/10/2025,74.3,8.2,42.04,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:02:59 23/10/2025,69.3,99.3,48.43,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:03:01 23/10/2025,61.2,75.5,4.84,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:04 23/10/2025,71.6,44.0,27.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:06 23/10/2025,99.4,80.3,11.59,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:03:08 23/10/2025,5.5,43.6,37.23,"Bình thường","An toàn"
17:03:10 23/10/2025,58.1,84.9,17.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:12 23/10/2025,44.6,17.8,25.36,"Bình thường","An toàn"
17:03:14 23/10/2025,22.6,2.3,23.97,"Bình thường","An toàn"
17:03:16 23/10/2025,33.2,77.4,38.00,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:18 23/10/2025,76.9,23.9,25.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:20 23/10/2025,44.6,3.5,32.28,"Bình thường","An toàn"
17:03:22 23/10/2025,58.1,35.7,49.77,"Bình thường","An toàn"
17:03:24 23/10/2025,17.6,93.0,8.75,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:03:26 23/10/2025,36.2,67.7,15.24,"Bình thường","An toàn"
17:03:28 23/10/2025,2.0,28.5,34.43,"Bình thường","An toàn"
17:03:30 23/10/2025,45.3,19.1,39.91,"Bình thường","An toàn"
17:03:32 23/10/2025,32.0,28.3,47.36,"Bình thường","An toàn"
17:03:34 23/10/2025,96.4,37.5,8.57,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:03:36 23/10/2025,88.3,14.9,26.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:38 23/10/2025,79.2,52.7,16.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:40 23/10/2025,18.5,77.2,25.85,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:42 23/10/2025,3.1,54.5,8.03,"Bình thường","An toàn"
17:03:44 23/10/2025,22.3,34.9,41.76,"Bình thường","An toàn"
17:03:46 23/10/2025,39.5,63.1,11.40,"Bình thường","An toàn"
17:03:48 23/10/2025,35.3,71.3,5.93,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:50 23/10/2025,85.0,41.7,22.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:52 23/10/2025,57.2,6.0,36.09,"Bình thường","An toàn"
17:03:54 23/10/2025,72.9,81.9,21.25,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:03:56 23/10/2025,43.7,67.8,37.31,"Bình thường","An toàn"
17:03:58 23/10/2025,68.1,52.4,23.16,"Bình thường","An toàn"
17:04:00 23/10/2025,67.8,54.2,48.44,"Bình thường","An toàn"
17:04:02 23/10/2025,3.2,59.0,31.97,"Bình thường","An toàn"
17:04:04 23/10/2025,87.2,5.5,20.55,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:06 23/10/2025,40.9,51.1,46.44,"Bình thường","An toàn"
17:04:08 23/10/2025,55.1,48.0,29.33,"Bình thường","An toàn"
17:04:10 23/10/2025,53.6,47.9,48.27,"Bình thường","An toàn"
17:04:12 23/10/2025,24.6,31.0,16.58,"Bình thường","An toàn"
17:04:14 23/10/2025,87.5,16.0,44.05,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:16 23/10/2025,19.6,19.4,29.69,"Bình thường","An toàn"
17:04:18 23/10/2025,98.7,66.0,43.39,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:04:20 23/10/2025,58.1,43.2,14.14,"Bình thường","An toàn"
17:04:22 23/10/2025,97.4,34.3,18.79,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:04:24 23/10/2025,47.4,63.6,0.17,"Bình thường","An toàn"
17:04:26 23/10/2025,48.4,67.8,29.92,"Bình thường","An toàn"
17:04:28 23/10/2025,65.3,29.0,22.98,"Bình thường","An toàn"
17:04:30 23/10/2025,32.2,96.9,27.88,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:04:32 23/10/2025,97.2,5.6,5.10,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:04:34 23/10/2025,45.6,44.2,5.64,"Bình thường","An toàn"
17:04:36 23/10/2025,81.4,82.4,9.01,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:38 23/10/2025,4.4,30.1,16.84,"Bình thường","An toàn"
17:04:40 23/10/2025,64.6,24.3,22.35,"Bình thường","An toàn"
17:04:42 23/10/2025,6.6,1.9,44.30,"Bình thường","An toàn"
17:04:44 23/10/2025,48.1,74.9,15.07,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:46 23/10/2025,61.7,89.0,23.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:48 23/10/2025,68.5,37.2,33.13,"Bình thường","An toàn"
17:04:50 23/10/2025,25.7,85.3,19.70,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:52 23/10/2025,80.4,86.1,4.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:54 23/10/2025,50.7,60.0,36.93,"Bình thường","An toàn"
17:04:56 23/10/2025,18.5,76.8,42.15,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:04:58 23/10/2025,12.2,61.5,15.06,"Bình thường","An toàn"
17:05:00 23/10/2025,79.5,88.3,4.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:02 23/10/2025,14.7,94.5,9.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:04 23/10/2025,45.2,4.4,15.61,"Bình thường","An toàn"
17:05:06 23/10/2025,48.8,94.8,49.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:08 23/10/2025,60.8,47.6,37.91,"Bình thường","An toàn"
17:05:10 23/10/2025,92.8,91.4,38.78,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:12 23/10/2025,14.8,97.9,4.00,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:14 23/10/2025,78.5,31.2,8.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:16 23/10/2025,19.0,51.2,30.29,"Bình thường","An toàn"
17:05:18 23/10/2025,36.6,70.9,21.55,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:20 23/10/2025,20.0,26.7,17.53,"Bình thường","An toàn"
17:05:22 23/10/2025,52.2,19.6,35.96,"Bình thường","An toàn"
17:05:24 23/10/2025,64.8,37.7,38.52,"Bình thường","An toàn"
17:05:26 23/10/2025,58.4,70.6,12.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:28 23/10/2025,31.3,21.3,12.43,"Bình thường","An toàn"
17:05:30 23/10/2025,58.1,9.6,0.85,"Bình thường","An toàn"
17:05:32 23/10/2025,28.4,50.6,35.98,"Bình thường","An toàn"
17:05:34 23/10/2025,8.2,14.8,9.53,"Bình thường","An toàn"
17:05:36 23/10/2025,45.4,33.7,9.87,"Bình thường","An toàn"
17:05:38 23/10/2025,29.9,53.6,1.08,"Bình thường","An toàn"
17:05:40 23/10/2025,67.4,94.1,8.67,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:42 23/10/2025,17.7,93.2,6.48,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:44 23/10/2025,26.2,88.6,10.51,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:46 23/10/2025,14.2,4.8,6.83,"Bình thường","An toàn"
17:05:48 23/10/2025,11.2,47.0,12.69,"Bình thường","An toàn"
17:05:50 23/10/2025,36.8,92.9,7.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:05:52 23/10/2025,75.4,50.7,48.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:54 23/10/2025,19.2,56.2,2.99,"Bình thường","An toàn"
17:05:56 23/10/2025,85.1,44.4,34.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:05:58 23/10/2025,26.3,91.5,18.37,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:00 23/10/2025,22.7,29.2,4.32,"Bình thường","An toàn"
17:06:02 23/10/2025,93.9,97.5,37.61,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:04 23/10/2025,51.9,73.7,20.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:06 23/10/2025,1.5,7.8,4.79,"Bình thường","An toàn"
17:06:08 23/10/2025,94.2,3.6,41.59,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:10 23/10/2025,98.6,39.9,29.15,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:12 23/10/2025,99.1,87.0,39.38,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:14 23/10/2025,26.0,76.7,25.96,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:16 23/10/2025,90.0,56.1,9.13,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:18 23/10/2025,42.0,50.8,33.94,"Bình thường","An toàn"
17:06:20 23/10/2025,46.4,55.6,30.07,"Bình thường","An toàn"
17:06:22 23/10/2025,17.5,31.8,23.91,"Bình thường","An toàn"
17:06:24 23/10/2025,70.9,54.7,5.10,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:26 23/10/2025,72.5,94.4,31.24,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:28 23/10/2025,8.6,47.4,12.01,"Bình thường","An toàn"
17:06:30 23/10/2025,99.3,31.6,21.03,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:33 23/10/2025,6.8,87.7,43.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:35 23/10/2025,0.8,1.3,2.54,"Bình thường","An toàn"
17:06:37 23/10/2025,82.1,73.0,47.94,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:39 23/10/2025,44.3,31.5,30.54,"Bình thường","An toàn"
17:06:41 23/10/2025,10.2,82.7,43.90,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:43 23/10/2025,63.6,24.0,40.52,"Bình thường","An toàn"
17:06:45 23/10/2025,20.9,93.5,48.04,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:06:47 23/10/2025,52.1,67.7,0.59,"Bình thường","An toàn"
17:06:49 23/10/2025,74.8,62.9,34.07,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:51 23/10/2025,2.4,47.4,14.23,"Bình thường","An toàn"
17:06:53 23/10/2025,9.7,63.3,20.91,"Bình thường","An toàn"
17:06:55 23/10/2025,53.6,6.1,45.78,"Bình thường","An toàn"
17:06:57 23/10/2025,65.4,82.4,9.63,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:06:59 23/10/2025,84.3,62.1,43.15,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:01 23/10/2025,25.0,40.9,2.27,"Bình thường","An toàn"
17:07:03 23/10/2025,88.2,63.8,6.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:05 23/10/2025,26.1,33.9,20.49,"Bình thường","An toàn"
17:07:07 23/10/2025,95.2,81.2,24.90,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:07:09 23/10/2025,22.8,21.7,2.53,"Bình thường","An toàn"
17:07:11 23/10/2025,72.7,56.2,21.47,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:13 23/10/2025,54.1,78.1,45.45,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:15 23/10/2025,84.6,56.9,0.55,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:17 23/10/2025,3.4,47.8,0.52,"Bình thường","An toàn"
17:07:19 23/10/2025,5.3,88.6,19.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:21 23/10/2025,32.1,71.1,49.45,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:23 23/10/2025,17.9,44.4,49.71,"Bình thường","An toàn"
17:07:25 23/10/2025,30.0,56.4,27.70,"Bình thường","An toàn"
17:07:27 23/10/2025,88.2,96.3,48.06,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:07:29 23/10/2025,86.8,3.6,29.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:31 23/10/2025,32.9,13.0,1.58,"Bình thường","An toàn"
17:07:33 23/10/2025,54.2,69.8,0.51,"Bình thường","An toàn"
17:07:35 23/10/2025,80.3,16.2,10.10,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:37 23/10/2025,68.1,23.6,37.05,"Bình thường","An toàn"
17:07:39 23/10/2025,74.1,46.6,36.20,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:41 23/10/2025,31.1,24.4,19.01,"Bình thường","An toàn"
17:07:43 23/10/2025,64.1,28.5,27.47,"Bình thường","An toàn"
17:07:45 23/10/2025,26.0,60.7,19.22,"Bình thường","An toàn"
17:07:47 23/10/2025,82.9,63.8,31.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:49 23/10/2025,49.8,76.1,29.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:51 23/10/2025,21.1,90.5,23.24,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:07:53 23/10/2025,23.7,37.7,44.81,"Bình thường","An toàn"
17:07:55 23/10/2025,85.6,23.5,41.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:57 23/10/2025,12.7,72.6,32.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:07:59 23/10/2025,36.2,55.1,28.28,"Bình thường","An toàn"
17:08:01 23/10/2025,24.2,50.4,33.16,"Bình thường","An toàn"
17:08:03 23/10/2025,96.1,69.0,30.07,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:08:05 23/10/2025,54.9,21.1,33.61,"Bình thường","An toàn"
17:08:07 23/10/2025,8.6,64.9,37.00,"Bình thường","An toàn"
17:08:09 23/10/2025,30.3,82.7,21.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:08:11 23/10/2025,28.4,26.3,20.84,"Bình thường","An toàn"
17:08:13 23/10/2025,91.8,76.5,21.80,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:08:15 23/10/2025,95.9,1.9,18.90,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:08:17 23/10/2025,55.9,76.1,1.77,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:08:19 23/10/2025,28.3,94.4,7.57,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
17:08:21 23/10/2025,89.7,26.8,21.10,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:08:23 23/10/2025,32.8,1.5,26.96,"Bình thường","An toàn"
17:08:25 23/10/2025,83.8,66.8,12.26,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:08:27 23/10/2025,76.8,8.9,38.07,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
17:08:29 23/10/2025,39.1,56.7,26.92,"Bình thường","An toàn"
17:08:31 23/10/2025,31.0,60.3,8.74,"Bình thường","An toàn"
17:08:49 23/10/2025,29.4,35.3,10.27,"Bình thường","An toàn"
17:08:51 23/10/2025,29.7,36.1,10.33,"Bình thường","An toàn"
17:08:53 23/10/2025,29.0,36.3,10.57,"Bình thường","An toàn"
17:08:55 23/10/2025,28.8,35.4,10.22,"Bình thường","An toàn"
17:08:57 23/10/2025,29.1,36.2,10.03,"Bình thường","An toàn"
17:08:59 23/10/2025,28.5,36.5,10.43,"Bình thường","An toàn"
17:09:01 23/10/2025,29.2,36.0,10.56,"Bình thường","An toàn"
17:09:03 23/10/2025,29.0,36.2,10.12,"Bình thường","An toàn"
17:09:05 23/10/2025,29.6,35.8,9.89,"Bình thường","An toàn"
17:09:07 23/10/2025,29.3,35.5,10.24,"Bình thường","An toàn"
17:09:09 23/10/2025,30.1,34.5,9.85,"Bình thường","An toàn"
17:09:11 23/10/2025,30.0,34.4,9.43,"Bình thường","An toàn"
17:09:13 23/10/2025,30.2,35.0,9.08,"Bình thường","An toàn"
17:09:15 23/10/2025,30.0,34.9,9.50,"Bình thường","An toàn"
17:09:17 23/10/2025,29.2,34.5,9.67,"Bình thường","An toàn"
17:09:19 23/10/2025,29.4,35.3,9.62,"Bình thường","An toàn"
17:09:21 23/10/2025,30.2,35.3,9.51,"Bình thường","An toàn"
17:09:23 23/10/2025,30.3,35.8,9.47,"Bình thường","An toàn"
17:09:25 23/10/2025,30.4,35.7,9.70,"Bình thường","An toàn"
17:09:27 23/10/2025,31.2,36.5,9.84,"Bình thường","An toàn"
17:09:29 23/10/2025,30.4,37.2,9.41,"Bình thường","An toàn"
17:09:31 23/10/2025,31.1,37.8,9.46,"Bình thường","An toàn"
17:09:33 23/10/2025,31.1,37.0,9.42,"Bình thường","An toàn"
17:09:35 23/10/2025,31.9,36.5,9.30,"Bình thường","An toàn"
17:09:37 23/10/2025,31.4,36.8,9.18,"Bình thường","An toàn"
17:09:39 23/10/2025,31.2,36.4,9.15,"Bình thường","An toàn"
17:09:41 23/10/2025,31.7,36.5,9.11,"Bình thường","An toàn"
17:09:43 23/10/2025,31.8,36.3,9.59,"Bình thường","An toàn"
17:09:45 23/10/2025,30.9,35.9,9.41,"Bình thường","An toàn"
17:09:47 23/10/2025,30.1,36.5,9.22,"Bình thường","An toàn"
17:09:49 23/10/2025,30.3,36.8,8.97,"Bình thường","An toàn"
17:09:51 23/10/2025,29.9,36.7,9.35,"Bình thường","An toàn"
17:09:53 23/10/2025,30.3,36.6,9.48,"Bình thường","An toàn"
17:09:55 23/10/2025,30.8,36.0,9.40,"Bình thường","An toàn"
17:09:57 23/10/2025,31.4,36.4,9.16,"Bình thường","An toàn"
17:09:59 23/10/2025,32.0,36.5,8.99,"Bình thường","An toàn"
17:10:01 23/10/2025,31.1,36.7,9.18,"Bình thường","An toàn"
17:10:03 23/10/2025,31.4,35.9,9.29,"Bình thường","An toàn"
17:10:05 23/10/2025,31.8,36.6,9.06,"Bình thường","An toàn"
17:10:07 23/10/2025,31.2,35.9,9.45,"Bình thường","An toàn"
17:10:09 23/10/2025,31.2,35.3,9.38,"Bình thường","An toàn"
17:10:11 23/10/2025,31.1,35.6,9.69,"Bình thường","An toàn"
17:10:13 23/10/2025,30.6,34.8,10.15,"Bình thường","An toàn"
17:10:15 23/10/2025,31.3,35.0,10.55,"Bình thường","An toàn"
17:10:17 23/10/2025,31.4,34.5,10.83,"Bình thường","An toàn"
17:10:19 23/10/2025,31.2,33.9,10.46,"Bình thường","An toàn"
17:10:21 23/10/2025,30.2,34.0,10.14,"Bình thường","An toàn"
17:10:23 23/10/2025,29.8,33.3,10.30,"Bình thường","An toàn"
17:10:25 23/10/2025,29.3,32.6,9.97,"Bình thường","An toàn"
17:10:27 23/10/2025,30.1,32.9,10.22,"Bình thường","An toàn"
17:10:29 23/10/2025,30.7,32.5,10.07,"Bình thường","An toàn"
17:10:31 23/10/2025,30.3,32.3,9.96,"Bình thường","An toàn"
17:10:33 23/10/2025,30.6,31.8,10.37,"Bình thường","An toàn"
17:10:35 23/10/2025,31.4,32.6,10.49,"Bình thường","An toàn"
17:10:37 23/10/2025,30.9,33.0,10.68,"Bình thường","An toàn"
17:10:39 23/10/2025,31.0,32.4,10.66,"Bình thường","An toàn"
17:10:41 23/10/2025,31.6,31.8,10.24,"Bình thường","An toàn"
17:10:43 23/10/2025,30.7,32.0,10.55,"Bình thường","An toàn"
17:10:45 23/10/2025,29.8,31.5,10.25,"Bình thường","An toàn"
17:10:47 23/10/2025,29.8,31.2,10.50,"Bình thường","An toàn"
17:10:49 23/10/2025,30.1,31.8,10.68,"Bình thường","An toàn"
17:10:51 23/10/2025,30.4,31.5,10.73,"Bình thường","An toàn"
17:10:53 23/10/2025,30.4,32.7,11.08,"Bình thường","An toàn"
17:10:55 23/10/2025,29.6,32.2,11.11,"Bình thường","An toàn"
17:10:57 23/10/2025,28.8,32.2,10.96,"Bình thường","An toàn"
17:10:59 23/10/2025,28.8,32.4,11.14,"Bình thường","An toàn"
17:11:01 23/10/2025,28.7,32.5,10.73,"Bình thường","An toàn"
17:11:03 23/10/2025,28.8,33.1,10.79,"Bình thường","An toàn"
17:11:05 23/10/2025,29.0,33.1,10.50,"Bình thường","An toàn"
17:11:07 23/10/2025,28.3,33.9,10.50,"Bình thường","An toàn"
17:11:09 23/10/2025,28.7,33.8,10.40,"Bình thường","An toàn"
17:11:11 23/10/2025,29.6,34.2,10.22,"Bình thường","An toàn"
17:11:13 23/10/2025,29.3,34.9,9.80,"Bình thường","An toàn"
17:11:15 23/10/2025,29.9,34.7,9.43,"Bình thường","An toàn"
17:11:17 23/10/2025,30.6,35.4,9.51,"Bình thường","An toàn"
17:11:19 23/10/2025,30.6,35.2,9.32,"Bình thường","An toàn"
17:11:21 23/10/2025,30.6,34.6,9.73,"Bình thường","An toàn"
17:11:23 23/10/2025,31.3,35.3,10.12,"Bình thường","An toàn"
17:11:25 23/10/2025,31.7,34.4,9.66,"Bình thường","An toàn"
17:11:27 23/10/2025,30.9,34.1,9.82,"Bình thường","An toàn"
17:11:29 23/10/2025,30.1,34.9,9.48,"Bình thường","An toàn"
17:11:31 23/10/2025,29.2,35.6,9.28,"Bình thường","An toàn"
17:11:33 23/10/2025,29.4,35.1,9.28,"Bình thường","An toàn"
17:11:35 23/10/2025,28.8,34.7,9.74,"Bình thường","An toàn"
17:11:37 23/10/2025,29.6,35.3,9.58,"Bình thường","An toàn"
17:11:39 23/10/2025,30.2,35.7,9.42,"Bình thường","An toàn"
17:11:41 23/10/2025,29.6,36.1,9.52,"Bình thường","An toàn"
17:11:43 23/10/2025,30.3,36.1,9.95,"Bình thường","An toàn"
17:11:45 23/10/2025,29.5,35.7,10.31,"Bình thường","An toàn"
17:11:47 23/10/2025,29.0,36.3,10.45,"Bình thường","An toàn"
17:11:49 23/10/2025,28.8,36.8,10.79,"Bình thường","An toàn"
17:11:51 23/10/2025,28.1,36.0,10.40,"Bình thường","An toàn"
17:11:53 23/10/2025,29.1,35.4,10.15,"Bình thường","An toàn"
17:11:55 23/10/2025,29.5,35.4,10.14,"Bình thường","An toàn"
17:11:57 23/10/2025,29.7,34.7,9.68,"Bình thường","An toàn"
17:11:59 23/10/2025,29.1,34.5,9.80,"Bình thường","An toàn"
17:12:01 23/10/2025,29.1,33.9,10.17,"Bình thường","An toàn"
17:12:03 23/10/2025,28.9,34.9,9.70,"Bình thường","An toàn"
17:12:05 23/10/2025,28.5,34.6,9.74,"Bình thường","An toàn"
17:12:08 23/10/2025,28.4,35.5,9.99,"Bình thường","An toàn"
17:12:10 23/10/2025,28.2,34.6,10.01,"Bình thường","An toàn"
17:12:12 23/10/2025,27.5,34.3,9.75,"Bình thường","An toàn"
17:12:14 23/10/2025,27.4,34.3,10.22,"Bình thường","An toàn"
17:12:16 23/10/2025,27.1,33.8,10.13,"Bình thường","An toàn"
17:12:18 23/10/2025,27.8,33.6,9.94,"Bình thường","An toàn"
17:12:20 23/10/2025,27.4,34.2,10.33,"Bình thường","An toàn"
17:12:22 23/10/2025,28.0,34.4,10.50,"Bình thường","An toàn"
17:12:24 23/10/2025,28.5,34.7,10.00,"Bình thường","An toàn"
17:12:26 23/10/2025,28.5,35.7,10.13,"Bình thường","An toàn"
17:12:28 23/10/2025,29.0,35.3,10.03,"Bình thường","An toàn"
17:12:30 23/10/2025,29.1,35.1,9.66,"Bình thường","An toàn"
17:12:32 23/10/2025,30.0,35.7,9.64,"Bình thường","An toàn"
17:12:34 23/10/2025,29.9,35.6,9.44,"Bình thường","An toàn"
17:12:36 23/10/2025,30.4,34.7,9.40,"Bình thường","An toàn"
17:12:38 23/10/2025,31.2,34.0,9.75,"Bình thường","An toàn"
17:12:40 23/10/2025,31.1,34.3,9.81,"Bình thường","An toàn"
17:12:42 23/10/2025,30.5,35.1,10.10,"Bình thường","An toàn"
17:12:44 23/10/2025,30.6,34.4,10.21,"Bình thường","An toàn"
17:12:46 23/10/2025,31.3,34.1,10.30,"Bình thường","An toàn"
17:12:48 23/10/2025,30.3,34.9,10.03,"Bình thường","An toàn"
17:12:50 23/10/2025,29.4,34.3,10.25,"Bình thường","An toàn"
17:12:52 23/10/2025,29.2,34.9,10.49,"Bình thường","An toàn"
17:12:54 23/10/2025,28.5,34.1,10.05,"Bình thường","An toàn"
17:12:56 23/10/2025,29.1,34.1,9.82,"Bình thường","An toàn"
17:12:58 23/10/2025,29.7,34.9,9.57,"Bình thường","An toàn"
17:13:00 23/10/2025,29.2,35.3,9.56,"Bình thường","An toàn"
17:13:02 23/10/2025,29.6,35.9,9.31,"Bình thường","An toàn"
17:13:04 23/10/2025,29.5,35.9,9.38,"Bình thường","An toàn"
17:13:06 23/10/2025,29.4,36.3,9.17,"Bình thường","An toàn"
17:13:08 23/10/2025,29.6,36.2,9.34,"Bình thường","An toàn"
17:13:10 23/10/2025,29.0,35.2,9.48,"Bình thường","An toàn"
17:13:12 23/10/2025,29.5,35.4,9.60,"Bình thường","An toàn"
17:13:14 23/10/2025,29.4,35.2,9.62,"Bình thường","An toàn"
17:13:16 23/10/2025,29.4,36.1,9.66,"Bình thường","An toàn"
17:13:18 23/10/2025,29.1,35.9,9.47,"Bình thường","An toàn"
17:13:20 23/10/2025,28.8,35.5,9.95,"Bình thường","An toàn"
17:13:22 23/10/2025,29.1,35.2,10.23,"Bình thường","An toàn"
17:13:24 23/10/2025,28.3,35.5,10.49,"Bình thường","An toàn"
17:13:26 23/10/2025,28.1,36.0,10.84,"Bình thường","An toàn"
17:13:28 23/10/2025,29.1,36.0,10.46,"Bình thường","An toàn"
17:13:30 23/10/2025,29.8,36.5,10.17,"Bình thường","An toàn"
17:13:32 23/10/2025,30.1,36.4,9.71,"Bình thường","An toàn"
17:13:34 23/10/2025,30.0,37.0,10.02,"Bình thường","An toàn"
17:13:36 23/10/2025,30.0,37.4,9.94,"Bình thường","An toàn"
17:13:38 23/10/2025,29.8,36.7,9.89,"Bình thường","An toàn"
17:13:40 23/10/2025,29.1,35.7,9.61,"Bình thường","An toàn"
17:13:42 23/10/2025,28.8,36.4,9.60,"Bình thường","An toàn"
17:13:44 23/10/2025,28.1,36.8,9.64,"Bình thường","An toàn"
17:13:46 23/10/2025,27.7,35.8,9.60,"Bình thường","An toàn"
17:13:48 23/10/2025,28.5,36.3,10.08,"Bình thường","An toàn"
17:13:50 23/10/2025,28.7,35.6,9.62,"Bình thường","An toàn"
17:13:52 23/10/2025,28.5,35.8,9.85,"Bình thường","An toàn"
17:13:54 23/10/2025,29.0,35.5,10.10,"Bình thường","An toàn"
17:13:56 23/10/2025,28.5,35.6,10.03,"Bình thường","An toàn"
17:13:58 23/10/2025,29.1,34.9,10.14,"Bình thường","An toàn"
17:14:00 23/10/2025,30.0,35.0,10.49,"Bình thường","An toàn"
